       [,1] [,2] [,3]
  [1,]   10    1    3
  [2,]    5    1   12
  [3,]   11    1    5
  [4,]    9    1    6
  [5,]    6    1    4
  [6,]   12    2    1
  [7,]    7    5    1
  [8,]   11    6    1
  [9,]   10    9    1
 [10,]    5    6    1
 [11,]    5    2    8
 [12,]    7    2    1
 [13,]    3    2    2
 [14,]    3    2   11
 [15,]    8    2   12
 [16,]    3    4    2
 [17,]   10    9    2
 [18,]   12    9    2
 [19,]    4    6    2
 [20,]   11   10    2
 [21,]    3    5   11
 [22,]    3    9    3
 [23,]    3   11    2
 [24,]    3    8   11
 [25,]    3    3    8
 [26,]    6    3    9
 [27,]    6    3    2
 [28,]    8    3    4
 [29,]    9    3    6
 [30,]    3    3   11
 [31,]    9   11    3
 [32,]    7    9    3
 [33,]    5    8    3
 [34,]    7    1    3
 [35,]    7    4    3
 [36,]    4    5    2
 [37,]    4   11   10
 [38,]    4   10   12
 [39,]    4    1    8
 [40,]    4   11   12
 [41,]    8    4   12
 [42,]    3    4    8
 [43,]   11    4    9
 [44,]   10    4    2
 [45,]   11    4    8
 [46,]    4    7    4
 [47,]    7    6    4
 [48,]    8    1    4
 [49,]   10   12    4
 [50,]    8   10    4
 [51,]    5    4    4
 [52,]    5   12    2
 [53,]    5    2    4
 [54,]    5    7    7
 [55,]    5    8    2
 [56,]   11    5    8
 [57,]    5    5    3
 [58,]    8    5    9
 [59,]   10    5    7
 [60,]    5    5    1
 [61,]   12    8    5
 [62,]    3    5    5
 [63,]    9    9    5
 [64,]    7    7    5
 [65,]    7    8    5
 [66,]    6    2   11
 [67,]    6    2   10
 [68,]    6   11    6
 [69,]    6    5    7
 [70,]    6    8    3
 [71,]   10    6    1
 [72,]    5    6    6
 [73,]    5    6   10
 [74,]   10    6   11
 [75,]    4    6   12
 [76,]    9    6    6
 [77,]    9    9    6
 [78,]   10   12    6
 [79,]    4    1    6
 [80,]    3    8    6
 [81,]    7   11    8
 [82,]    7   12    6
 [83,]    7   12    3
 [84,]    7   12    2
 [85,]    7    5    9
 [86,]    4    7   10
 [87,]    9    7    5
 [88,]   10    7    3
 [89,]    9    7    7
 [90,]    8    7    2
 [91,]    4    2    7
 [92,]    5    2    7
 [93,]    7    6    7
 [94,]    6   12    7
 [95,]    3   12    7
 [96,]    8   12    9
 [97,]    8    9    2
 [98,]    8    7   12
 [99,]    8    9    4
[100,]    8    2    9
[101,]    3    8    3
[102,]    9    8   11
[103,]    3    8   12
[104,]    6    8   11
[105,]    7    8   11
[106,]    7    5    8
[107,]   10    3    8
[108,]    5    7    8
[109,]   10   12    8
[110,]    6    9    8
[111,]    9    2    1
[112,]    9    5    9
[113,]    9    9   11
[114,]    9    1   12
[115,]    9   11    6
[116,]    5    9   10
[117,]    8    9    9
[118,]   11    9    8
[119,]    6    9    3
[120,]    4    9    4
[121,]    7    9    9
[122,]    8    6    9
[123,]   12    7    9
[124,]    3    5    9
[125,]    5    1    9
[126,]   10    7    7
[127,]   10    7    1
[128,]   10    5   11
[129,]   10   11   12
[130,]   10    4   10
[131,]    3   10    7
[132,]   11   10   10
[133,]    6   10    7
[134,]    5   10    5
[135,]   10   10    6
[136,]   10    7   10
[137,]    3    5   10
[138,]    3   10   10
[139,]    4    6   10
[140,]    4   10   10
[141,]   11    7    2
[142,]   11    5    3
[143,]   11    2    1
[144,]   11    5    6
[145,]   11   12   11
[146,]    4   11    4
[147,]    7   11   10
[148,]    9   11   12
[149,]    3   11    6
[150,]    6   11   12
[151,]    6   10   11
[152,]    5    9   11
[153,]    8    5   11
[154,]    9    2   11
[155,]    3    4   11
[156,]   12    5    2
[157,]   12    8    9
[158,]   12    2    7
[159,]   12    2    9
[160,]   12   11    3
[161,]    9   12   10
[162,]    9   12    8
[163,]    4   12    2
[164,]    4   12   10
[165,]   11   12    9
[166,]   10    2   12
[167,]    3    3   12
[168,]   11    5   12
[169,]    5    3   12
[170,]    6    6   12
[171,]    5    9    2
[172,]    8    2    2
[173,]    3    8    9
[174,]    4    3    3
[175,]    4    6    9
[176,]    3   10    8
[177,]   12    7    5
[178,]   10    1    9
[179,]    8    3    2
[180,]    8    4    4
[181,]    3    1    1
[182,]    7    3    3
[183,]    8   11   11
[184,]    4   10    9
[185,]    6    8    9
[186,]    8    1    2
[187,]    5   10   12
[188,]   10    7    8
[189,]    9    4    4
[190,]    7    4    5
[191,]    9    9    2
[192,]   10   11    4
[193,]   11    8   11
[194,]    9    3   12
[195,]    6    7    7
[196,]    7    7    6
[197,]   12    7   12
[198,]    4   12    6
[199,]    8    2    5
[200,]    7    9   11
       [,1] [,2] [,3]
  [1,]    1    4   11
  [2,]    2    8    3
  [3,]    2    6    6
  [4,]    2    6    1
  [5,]    2   10    5
  [6,]    1    7    7
  [7,]    1    6    4
  [8,]    1    9   10
  [9,]    2   10    2
 [10,]    2   10   11
 [11,]    2    7    3
 [12,]    1    6    2
 [13,]    1    9    2
 [14,]    1    2    4
 [15,]    1   10    3
 [16,]    2    7   11
 [17,]    2    1    1
 [18,]    2    5    9
 [19,]    2    3   10
 [20,]    1    3    2
 [21,]    1    7    8
 [22,]    2    9    8
 [23,]    2    7    2
 [24,]    2   12    5
 [25,]    1   12    5
 [26,]    1    4    3
 [27,]    2    3   12
 [28,]    2    7    4
 [29,]    1   12    6
 [30,]    1   11   12
 [31,]    1    9    7
 [32,]    2    5    7
 [33,]    1    5    2
 [34,]    1    5    7
 [35,]    2   10    7
