       [,1] [,2] [,3]
  [1,]    1    6    1
  [2,]    1    4    7
  [3,]    1    7    3
  [4,]    1    1    5
  [5,]    1    6    7
  [6,]    1    1    7
  [7,]    1    2    3
  [8,]    1    2    7
  [9,]    4    1    1
 [10,]    2    1    8
 [11,]    4    1    4
 [12,]    3    1    1
 [13,]    2    1    7
 [14,]    3    1    6
 [15,]    2    1    1
 [16,]    1    1    4
 [17,]    1    7    1
 [18,]    2    4    1
 [19,]    1    1    1
 [20,]    4    4    1
 [21,]    1    5    1
 [22,]    3    6    1
 [23,]    2    7    1
 [24,]    6    4    1
 [25,]    2    2    7
 [26,]    2    8    7
 [27,]    2    8    6
 [28,]    2    3    2
 [29,]    2    4    5
 [30,]    2    5    8
 [31,]    2    4    4
 [32,]    2    3    5
 [33,]    6    2    3
 [34,]    5    2    3
 [35,]    3    2    1
 [36,]    8    2    2
 [37,]    7    2    1
 [38,]    2    2    8
 [39,]    1    2    5
 [40,]    7    2    8
 [41,]    2    7    2
 [42,]    3    8    2
 [43,]    7    7    2
 [44,]    6    5    2
 [45,]    4    3    2
 [46,]    2    2    2
 [47,]    8    7    2
 [48,]    2    8    2
 [49,]    3    6    2
 [50,]    3    1    7
 [51,]    3    2    4
 [52,]    3    7    4
 [53,]    3    1    4
 [54,]    3    4    4
 [55,]    3    3    1
 [56,]    3    6    4
 [57,]    4    3    8
 [58,]    8    3    4
 [59,]    6    3    2
 [60,]    3    3    2
 [61,]    8    3    5
 [62,]    1    3    8
 [63,]    3    3    6
 [64,]    7    3    2
 [65,]    5    8    3
 [66,]    7    2    3
 [67,]    6    7    3
 [68,]    2    6    3
 [69,]    2    1    3
 [70,]    7    6    3
 [71,]    3    3    3
 [72,]    7    4    3
 [73,]    4    7    8
 [74,]    4    3    5
 [75,]    4    6    2
 [76,]    4    8    7
 [77,]    4    5    3
 [78,]    4    2    5
 [79,]    4    5    7
 [80,]    4    6    8
 [81,]    4    4    3
 [82,]    3    4    7
 [83,]    3    4    1
 [84,]    2    4    8
 [85,]    3    4    3
 [86,]    7    4    1
 [87,]    7    4    4
 [88,]    6    4    8
 [89,]    1    3    4
 [90,]    1    6    4
 [91,]    7    5    4
 [92,]    8    4    4
 [93,]    2    5    4
 [94,]    4    7    4
 [95,]    8    6    4
 [96,]    1    4    4
 [97,]    5    4    5
 [98,]    5    5    4
 [99,]    5    6    3
[100,]    5    1    6
[101,]    5    4    3
[102,]    5    7    5
[103,]    5    3    7
[104,]    5    4    4
[105,]    3    5    2
[106,]    1    5    6
[107,]    5    5    8
[108,]    5    5    3
[109,]    5    5    6
[110,]    7    5    6
[111,]    6    5    7
[112,]    8    5    3
[113,]    8    6    5
[114,]    4    6    5
[115,]    1    5    5
[116,]    5    1    5
[117,]    8    1    5
[118,]    2    5    5
[119,]    7    1    5
[120,]    8    7    5
[121,]    6    2    4
[122,]    6    7    8
[123,]    6    4    7
[124,]    6    6    7
[125,]    6    1    5
[126,]    6    1    2
[127,]    6    2    5
[128,]    6    5    3
[129,]    8    6    7
[130,]    2    6    5
[131,]    6    6    3
[132,]    5    6    5
[133,]    7    6    6
[134,]    5    6    4
[135,]    5    6    6
[136,]    8    6    8
[137,]    2    1    6
[138,]    1    1    6
[139,]    3    4    6
[140,]    1    6    6
[141,]    4    7    6
[142,]    4    6    6
[143,]    6    4    6
[144,]    5    8    6
[145,]    7    3    8
[146,]    7    7    7
[147,]    7    7    1
